config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
bt-gd5,bintrie,5,4,mixed_sload_sstore,1,25061,86226,2,0.1408,1.7826,1.1623,0.5265,3.8394,22.4581,12,0,0,0,3,0,0,0,1,149,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,mixed_sload_sstore,1,25062,71938443,1,618.1821,5236.9441,364.628,65.3981,6285.4629,11.4452,8,23667,2,1493,3,0,0,0,0,0,3,5,37.5,10159,13508,42.92,2,0,100,1493,0
bt-gd5,bintrie,5,4,mixed_sload_sstore,1,25063,21955315,6,40.4166,1338.6618,514.1869,49.9073,1943.3991,11.2974,10,3704,1,1344,6,0,0,0,0,0,6,4,60,2982,722,80.51,1,0,100,1344,0
bt-gd5,bintrie,5,4,mixed_sload_sstore,2,25064,86226,2,0.1901,1.8289,0.4903,0.5346,3.3,26.1288,12,0,0,0,3,0,0,0,1,149,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,mixed_sload_sstore,2,25065,71938443,1,632.9674,5227.0685,328.664,58.8311,6247.739,11.5143,8,23667,2,1493,3,0,0,0,0,0,4,4,50,6664,17003,28.16,2,0,100,1493,0
bt-gd5,bintrie,5,4,mixed_sload_sstore,2,25066,21955315,6,48.9845,1326.8791,576.2538,73.8488,2026.4019,10.8346,10,3704,1,1344,6,0,0,0,0,0,6,4,60,2982,722,80.51,1,0,100,1344,0
bt-gd5,bintrie,5,4,mixed_sload_sstore,3,25067,86226,2,0.2477,1.613,1.1589,0.4184,3.6739,23.4699,12,0,0,0,3,0,0,0,1,149,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,mixed_sload_sstore,3,25068,71938443,1,847.0117,6636.5682,293.4474,66.5161,7843.7215,9.1715,8,23667,2,1493,3,0,0,0,0,0,4,4,50,11732,11935,49.57,2,0,100,1493,0
bt-gd5,bintrie,5,4,mixed_sload_sstore,3,25069,21955315,6,48.4729,1240.2089,636.0143,55.5654,1980.6054,11.0852,11,3705,1,1344,7,0,0,0,0,0,7,4,63.64,2987,718,80.62,1,0,100,1344,0
bt-gd5,bintrie,5,4,mixed_sload_sstore,4,25070,86226,2,0.1979,0.947,0.4503,0.3161,2.0698,41.6585,12,0,0,0,3,0,0,0,1,149,6,6,50,0,0,0,0,0,0,0,0
