config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,trie_updates_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
bt-gd5-flat,bintrie,5,4,erc20_approve,1,11057,502712,12,0.2339,0.7057,7.8942,1.0045,10.258,49.007,41,0,0,0,13,0,0,0,6,479,32,9,78.05,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,1,11058,93693094,6,158.1314,196.7029,2216.7589,15.2379,2587.7019,36.2071,18,4086,7,1823,8,0,4086,0,0,0,14,4,77.78,3441,645,84.21,7,0,100,1823,0
bt-gd5-flat,bintrie,5,4,erc20_approve,1,11059,126000,6,0.1668,0.2494,4.945,0.8116,6.5436,19.2555,11,0,0,0,7,0,0,0,0,0,4,7,36.36,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,2,11060,502712,12,0.3618,1.1632,7.4725,0.8311,10.2732,48.9342,41,0,0,0,13,0,0,0,6,479,30,11,73.17,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,2,11061,93693094,6,187.6139,164.854,1650.9129,44.8224,2048.8433,45.7298,18,4086,7,1823,8,0,4086,0,0,0,13,5,72.22,3467,619,84.85,7,0,100,1823,0
bt-gd5-flat,bintrie,5,4,erc20_approve,2,11062,126000,6,0.1976,0.3866,6.0832,0.8078,7.9536,15.8419,11,0,0,0,7,0,0,0,0,0,6,5,54.55,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,3,11063,502712,12,0.4766,0.8431,4.7834,1.2469,7.8158,64.3197,41,0,0,0,13,0,0,0,6,479,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,3,11064,93693094,6,156.493,176.8153,1942.0487,13.9869,2289.9544,40.9148,18,4086,7,1823,8,0,4086,0,0,0,14,4,77.78,3436,650,84.09,7,0,100,1823,0
bt-gd5-flat,bintrie,5,4,erc20_approve,3,11065,126000,6,0.1492,0.2453,4.092,0.7337,5.6244,22.4024,11,0,0,0,7,0,0,0,0,0,1,10,9.09,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,4,11066,502712,12,0.3519,0.6529,4.6855,0.777,7.2396,69.4391,41,0,0,0,13,0,0,0,6,479,31,10,75.61,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,4,11067,93693094,6,153.2974,175.3257,2035.5163,16.094,2381.0812,39.349,18,4086,7,1823,8,0,4086,0,0,0,13,5,72.22,3445,641,84.31,7,0,100,1823,0
bt-gd5-flat,bintrie,5,4,erc20_approve,4,11068,126000,6,0.2872,0.3014,3.8096,0.7115,5.5988,22.5049,11,0,0,0,7,0,0,0,0,0,3,8,27.27,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,5,11069,502712,12,0.3687,0.5478,6.2877,0.7302,8.3468,60.2284,41,0,0,0,13,0,0,0,6,479,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,5,11070,93693094,6,162.7546,188.8546,1931.4552,14.9947,2298.9861,40.7541,18,4086,7,1823,8,0,4086,0,0,0,13,5,72.22,3429,657,83.92,7,0,100,1823,0
bt-gd5-flat,bintrie,5,4,erc20_approve,5,11071,126000,6,0.2495,0.4572,5.4922,0.9643,7.598,16.5832,11,0,0,0,7,0,0,0,0,0,4,7,36.36,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,6,11072,502712,12,0.272,0.7084,6.6992,0.8553,9.0655,55.4531,41,0,0,0,13,0,0,0,6,479,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,6,11073,93693094,6,157.0494,201.4056,1986.3774,15.6703,2361.2944,39.6787,18,4086,7,1823,8,0,4086,0,0,0,13,5,72.22,3394,692,83.06,7,0,100,1823,0
bt-gd5-flat,bintrie,5,4,erc20_approve,6,11074,126000,6,0.218,0.2313,3.9059,0.671,5.5036,22.8941,11,0,0,0,7,0,0,0,0,0,2,9,18.18,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,7,11075,502712,12,0.3227,1.044,6.1961,0.6591,8.6012,58.447,41,0,0,0,13,0,0,0,6,479,31,10,75.61,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,7,11076,93693094,6,134.7935,165.6934,1858.3685,15.874,2175.371,43.0699,18,4086,7,1823,8,0,4086,0,0,0,13,5,72.22,3384,702,82.82,7,0,100,1823,0
bt-gd5-flat,bintrie,5,4,erc20_approve,7,11077,126000,6,0.0808,0.0883,3.7713,0.6762,5.1312,24.5557,11,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,8,11078,0,0,0.0347,0.2024,0.0055,0.2731,0.962,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,8,11079,502712,12,0.5265,1.594,7.4348,0.9894,11.0473,45.5053,41,0,0,0,13,0,0,0,6,479,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,8,11080,93693094,6,152.4423,192.355,1789.1112,15.7358,2150.5677,43.5667,18,4086,7,1823,8,0,4086,0,0,0,13,5,72.22,3411,675,83.48,7,0,100,1823,0
bt-gd5-flat,bintrie,5,4,erc20_approve,8,11081,126000,6,0.1951,0.3794,3.7145,0.7197,5.3792,23.4236,11,0,0,0,7,0,0,0,0,0,5,6,45.45,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,9,11082,502712,12,0.2957,0.4371,4.6537,1.0006,6.8004,73.924,41,0,0,0,13,0,0,0,6,479,27,14,65.85,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,9,11083,93693094,6,162.3905,198.2921,2149.1636,10.5848,2521.4565,37.1583,18,4086,7,1823,8,0,4086,0,0,0,13,5,72.22,3397,689,83.14,7,0,100,1823,0
bt-gd5-flat,bintrie,5,4,erc20_approve,9,11084,126000,6,0.2212,0.3021,3.1751,0.7416,4.9855,25.2733,11,0,0,0,7,0,0,0,0,0,4,7,36.36,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,10,11085,502712,12,0.338,0.8697,7.2675,0.747,9.5794,52.4787,41,0,0,0,13,0,0,0,6,479,28,13,68.29,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_approve,10,11086,93693094,6,144.2557,189.2443,2134.0994,15.1946,2483.3748,37.7281,18,4086,7,1823,8,0,4086,0,0,0,12,6,66.67,3425,661,83.82,7,0,100,1823,0
bt-gd5-flat,bintrie,5,4,erc20_approve,10,11087,126000,6,0.161,0.18,5.2987,0.6455,6.5638,19.1963,11,0,0,0,7,0,0,0,0,0,1,10,9.09,0,0,0,0,0,0,0,0
