config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,trie_updates_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,1,11035,0,0,0.0226,0.1381,0.0053,0.2692,0.7444,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,1,11036,517696,12,0.5747,1.0437,9.5758,1.2114,12.852,40.2813,41,0,0,0,13,0,0,0,6,916,30,11,73.17,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,1,11037,100000000,6,574.89,871.4473,0.5441,28.114,1475.6248,67.7679,18,23382,7,2260,7,0,0,0,0,0,13,5,72.22,19619,3763,83.91,7,0,100,2260,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,2,11038,517696,12,0.4321,0.735,5.2429,0.7416,7.7043,67.1954,41,0,0,0,13,0,0,0,6,916,30,11,73.17,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,2,11039,100000000,6,558.7823,787.056,1.7131,34.9947,1383.2124,72.2955,18,23382,7,2260,7,0,0,0,0,0,14,4,77.78,19839,3543,84.85,7,0,100,2260,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,3,11040,517696,12,0.4107,0.7222,6.3559,0.8118,8.7976,58.8449,41,0,0,0,13,0,0,0,6,916,28,13,68.29,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,3,11041,100000000,6,557.0186,742.6192,1.5757,35.5837,1337.1679,74.7849,18,23382,7,2260,7,0,0,0,0,0,14,4,77.78,19928,3454,85.23,7,0,100,2260,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,4,11042,517696,12,0.3841,0.7244,5.2602,0.9437,7.7994,66.3765,41,0,0,0,13,0,0,0,6,916,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,4,11043,100000000,6,530.3777,753.5786,0.3744,19.9299,1304.897,76.6344,18,23382,7,2260,7,0,0,0,0,0,13,5,72.22,19838,3544,84.84,7,0,100,2260,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,5,11044,517696,12,0.4855,1.0843,6.558,0.8028,9.4052,55.0433,41,0,0,0,13,0,0,0,6,916,32,9,78.05,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,5,11045,100000000,6,611.7406,927.2256,1.3848,34.5478,1575.3779,63.4768,18,23382,7,2260,7,0,0,0,0,0,13,5,72.22,19630,3752,83.95,7,0,100,2260,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,6,11046,517696,12,0.4797,0.7454,7.2252,0.9374,9.9309,52.1299,41,0,0,0,13,0,0,0,6,916,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,6,11047,100000000,6,567.4979,807.2851,0.3685,37.1139,1412.7165,70.7856,18,23382,7,2260,7,0,0,0,0,0,14,4,77.78,19656,3726,84.06,7,0,100,2260,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,7,11048,0,0,0.0303,0.1601,0.0054,0.3185,0.8108,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,7,11049,517696,12,0.3801,0.705,11.8216,1.0378,14.3194,36.1533,41,0,0,0,13,0,0,0,6,916,28,13,68.29,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,7,11050,100000000,6,598.9294,911.3118,1.5464,31.7658,1543.903,64.7709,18,23382,7,2260,7,0,0,0,0,0,13,5,72.22,19736,3646,84.41,7,0,100,2260,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,8,11051,517696,12,0.4786,0.8231,4.7773,0.7745,7.2131,71.7711,41,0,0,0,13,0,0,0,6,916,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,8,11052,100000000,6,586.0087,848.8061,1.5458,28.8846,1466.1114,68.2076,18,23382,7,2260,7,0,0,0,0,0,13,5,72.22,19836,3546,84.83,7,0,100,2260,0
bt-gd5-flat,bintrie,5,4,mixed_sload_sstore,9,11053,517696,12,0.2417,0.5176,6.7896,0.982,8.8075,58.7791,41,0,0,0,13,0,0,0,6,916,28,13,68.29,0,0,0,0,0,0,0,0
