config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
bt-gd5,bintrie,5,4,erc20_approve,1,25093,83758,2,0.1,1.2999,0.6364,0.2812,2.5255,33.1643,12,0,0,0,3,0,0,0,1,78,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_approve,1,25094,26191182,1,123.8002,891.9363,644.3935,67.0533,1727.359,15.1626,8,4094,2,1422,3,0,0,0,0,0,4,4,50,922,3172,22.52,2,0,100,1422,0
bt-gd5,bintrie,5,4,erc20_approve,1,25095,26342178,7,55.8104,1583.112,742.989,71.702,2453.8809,10.7349,12,4446,1,1344,8,0,0,0,0,0,8,4,66.67,3714,732,83.54,1,0,100,1344,0
bt-gd5,bintrie,5,4,erc20_approve,2,25096,0,0,0.0135,0.5141,0.0005,0.0816,0.6933,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_approve,2,25097,13244347,5,33.1051,862.7012,417.5238,63.7876,1377.3202,9.616,16,2224,1,1344,7,0,0,0,1,78,10,6,62.5,1564,660,70.32,1,0,100,1344,0
bt-gd5,bintrie,5,4,erc20_approve,2,25098,26191182,1,130.1557,961.7622,694.6321,59.197,1845.8683,14.1891,8,4094,2,1422,3,0,0,0,0,0,3,5,37.5,1955,2139,47.75,2,0,100,1422,0
bt-gd5,bintrie,5,4,erc20_approve,2,25099,35115904,9,51.5195,2178.9367,1051.1263,90.2706,3372.1377,10.4135,12,5926,1,1344,8,0,0,0,0,0,8,4,66.67,5186,740,87.51,1,0,100,1344,0
bt-gd5,bintrie,5,4,erc20_approve,3,25100,0,0,0.0106,0.5631,0.0006,0.0814,0.7314,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_approve,3,25101,13244347,5,32.6261,808.8026,391.8919,43.0211,1276.5546,10.3751,16,2224,1,1344,7,0,0,0,1,78,10,6,62.5,1631,593,73.34,1,0,100,1344,0
bt-gd5,bintrie,5,4,erc20_approve,3,25102,26191182,1,167.7676,1086.3706,786.8587,102.1488,2143.3185,12.2199,8,4094,2,1422,3,0,0,0,0,0,3,5,37.5,1391,2703,33.98,2,0,100,1422,0
