config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
bt-gd5,bintrie,5,4,erc20_balanceof,1,25041,83662,2,0.1299,1.5452,1.2519,0.4913,3.6441,22.958,12,0,0,0,3,0,0,0,1,72,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_balanceof,1,25042,100000000,1,1365.4796,10081.8356,0.4907,50.4301,11498.3758,8.6969,8,36741,2,1416,2,0,0,0,0,0,3,5,37.5,14864,21877,40.46,2,0,100,1416,0
bt-gd5,bintrie,5,4,erc20_balanceof,2,25043,83662,2,0.1035,0.6954,0.4559,0.3908,1.8492,45.2418,12,0,0,0,3,0,0,0,1,72,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_balanceof,2,25044,100000000,1,1538.0216,11215.6936,0.2855,37.7328,12791.889,7.8175,8,36741,2,1416,2,0,0,0,0,0,3,5,37.5,13353,23388,36.34,2,0,100,1416,0
bt-gd5,bintrie,5,4,erc20_balanceof,3,25045,83662,2,0.1536,1.1301,0.5153,0.326,2.3244,35.9927,12,0,0,0,3,0,0,0,1,72,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_balanceof,3,25046,100000000,1,963.8188,7725.1602,0.4117,27.2926,8716.9064,11.472,8,36741,2,1416,2,0,0,0,0,0,4,4,50,18344,18397,49.93,2,0,100,1416,0
bt-gd5,bintrie,5,4,erc20_balanceof,4,25047,83662,2,0.1188,1.0694,0.4896,0.5693,2.4367,34.3343,12,0,0,0,3,0,0,0,1,72,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_balanceof,4,25048,100000000,1,1631.6773,12000.7696,0.1794,27.4285,13660.3603,7.3205,8,36741,2,1416,2,0,0,0,0,0,4,4,50,14471,22270,39.39,2,0,100,1416,0
bt-gd5,bintrie,5,4,erc20_balanceof,5,25049,83662,2,0.1133,0.7824,0.4198,0.386,1.8371,45.5398,12,0,0,0,3,0,0,0,1,72,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_balanceof,5,25050,100000000,1,1581.3424,11774.0924,0.284,24.2916,13380.2071,7.4737,8,36741,2,1416,2,0,0,0,0,0,3,5,37.5,12834,23907,34.93,2,0,100,1416,0
bt-gd5,bintrie,5,4,erc20_balanceof,6,25051,83662,2,0.1193,0.9395,0.5189,0.3675,2.1406,39.0827,12,0,0,0,3,0,0,0,1,72,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_balanceof,6,25052,100000000,1,936.585,7737.9491,0.144,24.5486,8699.3745,11.4951,8,36741,2,1416,2,0,0,0,0,0,3,5,37.5,12869,23872,35.03,2,0,100,1416,0
bt-gd5,bintrie,5,4,erc20_balanceof,7,25053,83662,2,0.1325,0.9108,0.5158,0.388,2.1134,39.587,12,0,0,0,3,0,0,0,1,72,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_balanceof,7,25054,100000000,1,952.1394,7815.4524,0.4247,26.3493,8794.5816,11.3706,8,36741,2,1416,2,0,0,0,0,0,3,5,37.5,12803,23938,34.85,2,0,100,1416,0
bt-gd5,bintrie,5,4,erc20_balanceof,8,25055,83662,2,0.1237,0.9498,0.4328,0.3294,2.0477,40.8572,12,0,0,0,3,0,0,0,1,72,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_balanceof,8,25056,100000000,1,1235.8397,9683.4046,0.1607,21.6395,10941.3134,9.1397,8,36741,2,1416,2,0,0,0,0,0,4,4,50,12828,23913,34.91,2,0,100,1416,0
bt-gd5,bintrie,5,4,erc20_balanceof,9,25057,83662,2,0.8146,2.612,2.1548,1.1191,7.1356,11.7247,12,0,0,0,3,0,0,0,1,72,7,5,58.33,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_balanceof,9,25058,100000000,1,925.167,7870.1071,0.1815,21.111,8816.7088,11.3421,8,36741,2,1416,2,0,0,0,0,0,3,5,37.5,12308,24433,33.5,2,0,100,1416,0
bt-gd5,bintrie,5,4,erc20_balanceof,10,25059,83662,2,0.182,1.6525,1.1584,0.4131,3.6277,23.0617,12,0,0,0,3,0,0,0,1,72,6,6,50,0,0,0,0,0,0,0,0
bt-gd5,bintrie,5,4,erc20_balanceof,10,25060,100000000,1,944.5825,7935.412,0.1582,20.2018,8900.5056,11.2353,8,36741,2,1416,2,0,0,0,0,0,3,5,37.5,16637,20104,45.28,2,0,100,1416,0
