config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
mpt,mpt,0,4,erc20_approve,1,64523,90958,2,0.0693,0.3341,0.3291,0.4326,1.2856,70.749,11,0,0,0,3,0,0,0,1,78,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_approve,1,64524,93739282,1,50.0094,560.5915,378.4996,24.339,1013.5384,92.4872,8,4094,2,1422,3,0,4094,0,0,0,3,5,37.5,594,3500,14.51,2,0,100,1422,0
mpt,mpt,0,4,erc20_approve,1,64525,21000,1,0.1763,0.3956,0.0919,0.5012,1.2257,17.133,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_approve,2,64526,90958,2,0.1167,0.1597,0.9224,0.6623,1.9122,47.5662,11,0,0,0,3,0,0,0,1,78,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_approve,2,64527,93739282,1,43.7004,523.0607,342.3023,31.771,940.9291,99.6242,8,4094,2,1422,3,0,4094,0,0,0,3,5,37.5,520,3574,12.7,2,0,100,1422,0
mpt,mpt,0,4,erc20_approve,2,64528,21000,1,0.0502,0.2874,0.1044,0.6163,1.1286,18.6071,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_approve,3,64529,90958,2,0.0635,0.4325,0.1378,0.4036,1.1508,79.0387,11,0,0,0,3,0,0,0,1,78,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_approve,3,64530,93739282,1,47.4645,522.1868,321.1066,37.1926,928.048,101.0069,8,4094,2,1422,3,0,4094,0,0,0,3,5,37.5,627,3467,15.32,2,0,100,1422,0
mpt,mpt,0,4,erc20_approve,3,64531,21000,1,0.0521,0.2016,0.0877,0.4926,0.8911,23.5652,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_approve,4,64532,90958,2,0.0672,0.3076,0.6321,0.6744,1.7503,51.9677,11,0,0,0,3,0,0,0,1,78,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_approve,4,64533,93739282,1,39.023,504.7336,309.6465,25.4459,878.9285,106.6518,8,4094,2,1422,3,0,4094,0,0,0,3,5,37.5,526,3568,12.85,2,0,100,1422,0
mpt,mpt,0,4,erc20_approve,4,64534,21000,1,0.0667,0.1823,0.1406,0.5099,0.9545,22.0007,6,0,0,0,2,0,0,0,0,0,1,5,16.67,0,0,0,0,0,0,0,0
