config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
mpt,mpt,0,4,mixed_sload_sstore,1,64288,0,0,0.0105,0.0613,0.0119,0.0729,0.1903,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,1,64289,106226,2,0.1981,0.7208,0.9178,1.6246,3.5408,30.0002,11,0,0,0,3,0,0,0,1,149,5,6,45.45,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,1,64290,100000000,1,182.5016,3145.2959,0.1109,27.0673,3355.1077,29.8053,8,23418,2,1493,2,0,0,0,0,0,4,4,50,1886,21532,8.05,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,2,64291,0,0,0.032,0.7108,0.0094,0.1754,1.0098,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,2,64292,106226,2,0.0926,0.3331,0.1672,1.2783,2.0183,52.6312,11,0,0,0,3,0,0,0,1,149,5,6,45.45,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,2,64293,100000000,1,178.7833,3180.665,0.0541,16.2031,3375.7878,29.6227,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1854,21564,7.92,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,3,64294,0,0,0.0097,0.05,0.0103,0.0458,0.155,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,3,64295,106226,2,0.0604,0.1686,0.9639,1.2814,2.5151,42.236,11,0,0,0,3,0,0,0,1,149,5,6,45.45,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,3,64296,100000000,1,184.2551,3106.7981,0.1129,25.4238,3316.6757,30.1507,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1586,21832,6.77,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,4,64297,0,0,0.0161,0.3649,0.004,0.0523,0.4869,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,4,64298,106226,2,0.1696,0.3178,0.8361,1.3799,2.9252,36.3142,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,4,64299,100000000,1,169.4622,3263.7639,0.0792,20.8528,3454.2527,28.9498,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,2370,21048,10.12,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,5,64300,0,0,0.0143,0.1034,0.0049,0.067,0.2319,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,5,64301,106226,2,0.0905,0.6181,0.68,1.6159,3.1006,34.2599,11,0,0,0,3,0,0,0,1,149,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,5,64302,100000000,1,177.0605,3183.9409,0.0688,18.8784,3380.0421,29.5854,8,23418,2,1493,2,0,0,0,0,0,4,4,50,1831,21587,7.82,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,6,64303,0,0,0.0281,0.2509,0.0092,0.1157,0.4733,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,6,64304,106226,2,0.089,0.1095,0.2966,1.6695,2.2,48.2835,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,6,64305,100000000,1,181.788,3229.8754,0.0647,17.9249,3429.7475,29.1567,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1697,21721,7.25,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,7,64306,0,0,0.0206,0.1298,0.0047,0.0575,0.2816,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,7,64307,106226,2,0.1656,0.1328,1.1073,1.8401,3.5151,30.2203,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,7,64308,100000000,1,187.8213,3228.7663,0.0699,18.4346,3435.1816,29.1105,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1575,21843,6.73,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,8,64309,0,0,0.0145,0.118,0.0034,0.07,0.2564,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,8,64310,106226,2,0.0501,0.1196,1.0664,1.902,3.1776,33.4298,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,8,64311,100000000,1,176.9734,3283.487,0.0803,18.9208,3479.5597,28.7393,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1472,21946,6.29,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,9,64312,0,0,0.0277,0.2794,0.0089,0.1641,0.5438,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,9,64313,106226,2,0.1005,0.5449,0.423,1.3389,2.4714,42.9815,11,0,0,0,3,0,0,0,1,149,7,4,63.64,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,9,64314,100000000,1,172.1721,3102.9036,0.1038,24.431,3299.6927,30.3059,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1463,21955,6.25,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,10,64315,0,0,0.0319,0.4599,0.0088,0.134,0.7255,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,10,64316,106226,2,0.0437,0.094,0.9933,1.3177,2.4843,42.7589,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,10,64317,100000000,1,171.5942,3140.3541,0.0639,17.4572,3329.5527,30.0341,8,23418,2,1493,2,0,0,0,0,0,4,4,50,1893,21525,8.08,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,11,64318,0,0,0.0091,0.0479,0.0079,0.0439,0.1381,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,11,64319,106226,2,0.0479,0.1053,1.1131,1.7968,3.1009,34.2565,11,0,0,0,3,0,0,0,1,149,5,6,45.45,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,11,64320,100000000,1,177.3184,3104.4917,0.0536,21.0499,3303.0017,30.2755,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1858,21560,7.93,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,12,64321,0,0,0.0375,0.9158,0.0158,0.1116,1.1786,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,12,64322,106226,2,0.1228,0.6001,0.2489,1.3413,2.4455,43.438,11,0,0,0,3,0,0,0,1,149,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,12,64323,100000000,1,177.9941,3105.6908,0.0698,18.549,3302.3979,30.281,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1705,21713,7.28,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,13,64324,0,0,0.0195,0.7125,0.0134,0.12,0.9318,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,13,64325,106226,2,0.1045,0.1001,0.2848,1.2036,1.724,61.6172,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,13,64326,100000000,1,192.4317,3234.9846,0.1196,23.0508,3450.6706,28.9799,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1577,21841,6.73,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,14,64327,0,0,0.0146,0.1117,0.0047,0.058,0.2597,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,14,64328,106226,2,0.0854,0.2135,0.6294,1.5404,2.5537,41.597,11,0,0,0,3,0,0,0,1,149,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,14,64329,100000000,1,178.1832,3098.5441,0.0672,18.1446,3294.9995,30.349,8,23418,2,1493,2,0,0,0,0,0,2,6,25,1303,22115,5.56,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,15,64330,0,0,0.0305,0.1681,0.0085,0.1139,0.4002,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,15,64331,106226,2,0.1092,0.0938,0.7732,2.117,3.1298,33.9407,11,0,0,0,3,0,0,0,1,149,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,15,64332,100000000,1,178.1054,3179.3337,0.059,17.1314,3374.7042,29.6322,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1742,21676,7.44,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,16,64333,0,0,0.0092,0.0473,0.0094,0.0447,0.1402,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,16,64334,106226,2,0.2091,0.3807,0.7675,2.0322,3.6324,29.2441,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,16,64335,100000000,1,170.3305,3234.4076,0.0663,19.8775,3424.7669,29.1991,8,23418,2,1493,2,0,0,0,0,0,4,4,50,2194,21224,9.37,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,17,64336,0,0,0.0101,0.0458,0.0078,0.0444,0.1397,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,17,64337,106226,2,0.116,0.2128,0.3253,2.2811,2.9804,35.6417,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,17,64338,100000000,1,174.3706,3161.6505,0.0746,16.2613,3352.4788,29.8287,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1941,21477,8.29,2,0,100,1493,0
