2026/04/27 09:08:20 Auto-scaled for 500GB target (70/20/10 ratio):
2026/04/27 09:08:20   accounts:     825955249
2026/04/27 09:08:20   contracts:    100000 (soft cap, stops earlier at target)
2026/04/27 09:08:20   min-slots:    9636
2026/04/27 09:08:20   max-slots:    96360
2026/04/27 09:08:20   code-size:    1024
2026/04/27 09:08:20   distribution: power-law
2026/04/27 09:08:20 Loaded genesis with 1 alloc accounts (chainId=1337)
2026/04/27 09:08:20 Configuration:
2026/04/27 09:08:20   Database:     /home/CPerezz/bintrie-benchmarks/mpt-vs-bintrie/dbs/bt-gd5-flat/geth/chaindata
2026/04/27 09:08:20   Output Format: geth
2026/04/27 09:08:20   Accounts:     825955249
2026/04/27 09:08:20   Contracts:    100000 (Phase 1 safety cap, target-size stops earlier)
2026/04/27 09:08:20   Max Slots:    96360 (auto-scaled for target size)
2026/04/27 09:08:20   Min Slots:    9636 (auto-scaled for target size)
2026/04/27 09:08:20   Distribution: power-law
2026/04/27 09:08:20   Seed:         25519
2026/04/27 09:08:20   Batch Size:   100000
2026/04/27 09:08:20   Workers:      96
2026/04/27 09:08:20   Code Size:    1024 bytes
2026/04/27 09:08:20   Trie Mode:    binary
2026/04/27 09:08:20   Commit Interval: 500000 trie insertions
2026/04/27 09:08:20   Group Depth:     5
2026/04/27 09:08:20   Pebble Block:    4096 bytes
2026/04/27 09:08:20   Target Size:  500.00 GB
2026/04/27 09:08:20   Genesis:      /home/CPerezz/state-actor/genesis.json
2026/04/27 09:08:20 NOTE: --commit-interval is ignored (binary stack trie computes root from sorted entries)
2026/04/27 09:08:20 Included 1 genesis alloc accounts (1 EOAs, 0 contracts)
2026/04/27 09:08:40 [EOA] 6582335/825955249 (0.8%), 0 storage slots, 13164672 trie entries
2026/04/27 09:09:00 [EOA] 13107199/825955249 (1.6%), 0 storage slots, 26214400 trie entries
2026/04/27 09:09:20 [EOA] 19630467/825955249 (2.4%), 0 storage slots, 39260936 trie entries
2026/04/27 09:09:40 [EOA] 26202749/825955249 (3.2%), 0 storage slots, 52405500 trie entries
2026/04/27 09:10:00 [EOA] 32530783/825955249 (3.9%), 0 storage slots, 65061568 trie entries
2026/04/27 09:10:20 [EOA] 39012190/825955249 (4.7%), 0 storage slots, 78024382 trie entries
2026/04/27 09:10:40 [EOA] 45589580/825955249 (5.5%), 0 storage slots, 91179162 trie entries
2026/04/27 09:11:00 [EOA] 52029714/825955249 (6.3%), 0 storage slots, 104059430 trie entries
2026/04/27 09:11:20 [EOA] 58720255/825955249 (7.1%), 0 storage slots, 117440512 trie entries
2026/04/27 09:11:40 [EOA] 65535999/825955249 (7.9%), 0 storage slots, 131072000 trie entries
2026/04/27 09:12:00 [EOA] 72259244/825955249 (8.7%), 0 storage slots, 144518490 trie entries
2026/04/27 09:12:20 [EOA] 78946832/825955249 (9.6%), 0 storage slots, 157893666 trie entries
2026/04/27 09:12:41 [EOA] 85458943/825955249 (10.3%), 0 storage slots, 170917888 trie entries
2026/04/27 09:13:01 [EOA] 92473003/825955249 (11.2%), 0 storage slots, 184946008 trie entries
2026/04/27 09:13:21 [EOA] 99090431/825955249 (12.0%), 0 storage slots, 198180864 trie entries
2026/04/27 09:13:41 [EOA] 106057144/825955249 (12.8%), 0 storage slots, 212114290 trie entries
2026/04/27 09:14:01 [EOA] 112723147/825955249 (13.6%), 0 storage slots, 225446296 trie entries
2026/04/27 09:14:21 [EOA] 119537663/825955249 (14.5%), 0 storage slots, 239075328 trie entries
2026/04/27 09:14:41 [EOA] 126353407/825955249 (15.3%), 0 storage slots, 252706816 trie entries
2026/04/27 09:15:01 [EOA] 133206402/825955249 (16.1%), 0 storage slots, 266412806 trie entries
2026/04/27 09:15:21 [EOA] 139984895/825955249 (16.9%), 0 storage slots, 279969792 trie entries
2026/04/27 09:15:41 [EOA] 146641271/825955249 (17.8%), 0 storage slots, 293282544 trie entries
2026/04/27 09:16:01 [EOA] 153131174/825955249 (18.5%), 0 storage slots, 306262350 trie entries
2026/04/27 09:16:21 [EOA] 159907839/825955249 (19.4%), 0 storage slots, 319815680 trie entries
2026/04/27 09:16:41 [EOA] 166913083/825955249 (20.2%), 0 storage slots, 333826168 trie entries
2026/04/27 09:17:01 [EOA] 173760490/825955249 (21.0%), 0 storage slots, 347520982 trie entries
2026/04/27 09:17:21 [EOA] 180481675/825955249 (21.9%), 0 storage slots, 360963352 trie entries
2026/04/27 09:17:41 [EOA] 187394245/825955249 (22.7%), 0 storage slots, 374788492 trie entries
2026/04/27 09:18:01 [EOA] 194252558/825955249 (23.5%), 0 storage slots, 388505118 trie entries
2026/04/27 09:18:22 [EOA] 201326591/825955249 (24.4%), 0 storage slots, 402653184 trie entries
2026/04/27 09:18:42 [EOA] 208142335/825955249 (25.2%), 0 storage slots, 416284672 trie entries
2026/04/27 09:19:02 [EOA] 214958079/825955249 (26.0%), 0 storage slots, 429916160 trie entries
2026/04/27 09:19:22 [EOA] 221830458/825955249 (26.9%), 0 storage slots, 443660918 trie entries
2026/04/27 09:19:42 [EOA] 228589567/825955249 (27.7%), 0 storage slots, 457179136 trie entries
2026/04/27 09:20:02 [EOA] 235567582/825955249 (28.5%), 0 storage slots, 471135166 trie entries
2026/04/27 09:20:22 [EOA] 242721868/825955249 (29.4%), 0 storage slots, 485443738 trie entries
2026/04/27 09:20:43 [EOA] 249561087/825955249 (30.2%), 0 storage slots, 499122176 trie entries
2026/04/27 09:21:03 [EOA] 256388559/825955249 (31.0%), 0 storage slots, 512777120 trie entries
2026/04/27 09:21:23 [EOA] 263192575/825955249 (31.9%), 0 storage slots, 526385152 trie entries
2026/04/27 09:21:43 [EOA] 270008319/825955249 (32.7%), 0 storage slots, 540016640 trie entries
2026/04/27 09:22:04 [EOA] 276824063/825955249 (33.5%), 0 storage slots, 553648128 trie entries
2026/04/27 09:22:24 [EOA] 283643544/825955249 (34.3%), 0 storage slots, 567287090 trie entries
2026/04/27 09:22:44 [EOA] 290426317/825955249 (35.2%), 0 storage slots, 580852636 trie entries
2026/04/27 09:23:04 [EOA] 297271295/825955249 (36.0%), 0 storage slots, 594542592 trie entries
2026/04/27 09:23:24 [EOA] 304213805/825955249 (36.8%), 0 storage slots, 608427612 trie entries
2026/04/27 09:23:44 [EOA] 311088017/825955249 (37.7%), 0 storage slots, 622176036 trie entries
2026/04/27 09:24:04 [EOA] 318064066/825955249 (38.5%), 0 storage slots, 636128134 trie entries
2026/04/27 09:24:24 [EOA] 324923816/825955249 (39.3%), 0 storage slots, 649847634 trie entries
2026/04/27 09:24:44 [EOA] 331874303/825955249 (40.2%), 0 storage slots, 663748608 trie entries
2026/04/27 09:25:04 [EOA] 338734659/825955249 (41.0%), 0 storage slots, 677469320 trie entries
2026/04/27 09:25:24 [EOA] 345675475/825955249 (41.9%), 0 storage slots, 691350952 trie entries
2026/04/27 09:25:44 [EOA] 352784298/825955249 (42.7%), 0 storage slots, 705568598 trie entries
2026/04/27 09:26:04 [EOA] 359661567/825955249 (43.5%), 0 storage slots, 719323136 trie entries
2026/04/27 09:26:24 [EOA] 366477311/825955249 (44.4%), 0 storage slots, 732954624 trie entries
2026/04/27 09:26:45 [EOA] 373293055/825955249 (45.2%), 0 storage slots, 746586112 trie entries
2026/04/27 09:27:05 [EOA] 380548916/825955249 (46.1%), 0 storage slots, 761097834 trie entries
2026/04/27 09:27:25 [EOA] 387456508/825955249 (46.9%), 0 storage slots, 774913018 trie entries
2026/04/27 09:27:45 [EOA] 394270385/825955249 (47.7%), 0 storage slots, 788540772 trie entries
2026/04/27 09:28:05 [EOA] 401080319/825955249 (48.6%), 0 storage slots, 802160640 trie entries
2026/04/27 09:28:25 [EOA] 407980563/825955249 (49.4%), 0 storage slots, 815961128 trie entries
2026/04/27 09:28:45 [EOA] 414959731/825955249 (50.2%), 0 storage slots, 829919464 trie entries
2026/04/27 09:29:05 [EOA] 421903977/825955249 (51.1%), 0 storage slots, 843807956 trie entries
2026/04/27 09:29:25 [EOA] 428745886/825955249 (51.9%), 0 storage slots, 857491774 trie entries
2026/04/27 09:29:45 [EOA] 435683327/825955249 (52.7%), 0 storage slots, 871366656 trie entries
2026/04/27 09:30:05 [EOA] 443018852/825955249 (53.6%), 0 storage slots, 886037706 trie entries
2026/04/27 09:30:25 [EOA] 449839103/825955249 (54.5%), 0 storage slots, 899678208 trie entries
2026/04/27 09:30:45 [EOA] 456681391/825955249 (55.3%), 0 storage slots, 913362784 trie entries
2026/04/27 09:31:05 [EOA] 463590998/825955249 (56.1%), 0 storage slots, 927181998 trie entries
2026/04/27 09:31:25 [EOA] 470484438/825955249 (57.0%), 0 storage slots, 940968878 trie entries
2026/04/27 09:31:45 [EOA] 477432486/825955249 (57.8%), 0 storage slots, 954864974 trie entries
2026/04/27 09:32:05 [EOA] 484131581/825955249 (58.6%), 0 storage slots, 968263164 trie entries
2026/04/27 09:32:25 [EOA] 491115763/825955249 (59.5%), 0 storage slots, 982231528 trie entries
2026/04/27 09:32:45 [EOA] 498237840/825955249 (60.3%), 0 storage slots, 996475682 trie entries
2026/04/27 09:33:05 [EOA] 505413631/825955249 (61.2%), 0 storage slots, 1010827264 trie entries
2026/04/27 09:33:26 [EOA] 512753663/825955249 (62.1%), 0 storage slots, 1025507328 trie entries
2026/04/27 09:33:46 [EOA] 520093695/825955249 (63.0%), 0 storage slots, 1040187392 trie entries
2026/04/27 09:34:06 [EOA] 527180479/825955249 (63.8%), 0 storage slots, 1054360960 trie entries
2026/04/27 09:34:26 [EOA] 534249471/825955249 (64.7%), 0 storage slots, 1068498944 trie entries
2026/04/27 09:34:46 [EOA] 541076867/825955249 (65.5%), 0 storage slots, 1082153736 trie entries
2026/04/27 09:35:06 [EOA] 547987319/825955249 (66.3%), 0 storage slots, 1095974640 trie entries
2026/04/27 09:35:26 [EOA] 554973895/825955249 (67.2%), 0 storage slots, 1109947792 trie entries
2026/04/27 09:35:46 [EOA] 562013260/825955249 (68.0%), 0 storage slots, 1124026522 trie entries
2026/04/27 09:36:06 [EOA] 568852479/825955249 (68.9%), 0 storage slots, 1137704960 trie entries
2026/04/27 09:36:26 [EOA] 575677324/825955249 (69.7%), 0 storage slots, 1151354650 trie entries
2026/04/27 09:36:46 [EOA] 582814484/825955249 (70.6%), 0 storage slots, 1165628970 trie entries
2026/04/27 09:37:06 [EOA] 589880141/825955249 (71.4%), 0 storage slots, 1179760284 trie entries
2026/04/27 09:37:26 [EOA] 596820140/825955249 (72.3%), 0 storage slots, 1193640282 trie entries
2026/04/27 09:37:46 [EOA] 603676999/825955249 (73.1%), 0 storage slots, 1207354000 trie entries
2026/04/27 09:38:06 [EOA] 610795519/825955249 (74.0%), 0 storage slots, 1221591040 trie entries
2026/04/27 09:38:26 [EOA] 618021067/825955249 (74.8%), 0 storage slots, 1236042136 trie entries
2026/04/27 09:38:46 [EOA] 624824050/825955249 (75.6%), 0 storage slots, 1249648102 trie entries
2026/04/27 09:39:06 [EOA] 631767039/825955249 (76.5%), 0 storage slots, 1263534080 trie entries
2026/04/27 09:39:26 [EOA] 638698459/825955249 (77.3%), 0 storage slots, 1277396920 trie entries
2026/04/27 09:39:46 [EOA] 645718720/825955249 (78.2%), 0 storage slots, 1291437442 trie entries
